timestamp,Vb,Vs,Is,P,Ph
18410,12.1538,0.0045,0.0453,0.5525,56.9075
18513,12.1538,0.0048,0.0477,0.58,59.74
18616,12.1525,0.0048,0.0483,0.5875,60.5125
18719,12.1538,0.0047,0.047,0.5725,58.9675
18822,12.155,0.0045,0.045,0.5475,56.3925
18925,12.1538,0.0047,0.0473,0.575,59.225
19028,12.155,0.0044,0.0441,0.535,55.105
19131,12.1575,0.0038,0.0384,0.4675,48.1525
19234,12.1575,0.0039,0.0386,0.47,48.41
19338,12.1575,0.0038,0.0382,0.465,48.36
19440,12.1575,0.0038,0.0381,0.465,47.43
19543,12.1575,0.0039,0.0389,0.4725,48.6675
19646,12.1575,0.0039,0.0394,0.48,49.44
19749,12.1487,0.0061,0.0609,0.74,76.22
19852,12.1475,0.0066,0.0656,0.7975,82.1425
19955,12.15,0.0052,0.0518,0.63,64.89
20058,12.15,0.0051,0.0512,0.6225,64.1175
20161,12.1513,0.0053,0.0527,0.64,65.92
20264,12.1538,0.0053,0.0525,0.6375,65.6625
20367,12.1525,0.0047,0.0474,0.575,59.225
20470,12.1525,0.0052,0.0518,0.63,64.89
20573,12.1525,0.0049,0.0495,0.6025,62.0575
20676,12.1563,0.0041,0.0409,0.4975,51.2425
20779,12.1563,0.0043,0.0431,0.5225,53.8175
20882,12.1525,0.0049,0.0494,0.6,61.8
20985,12.1525,0.0051,0.0513,0.6225,64.1175
21088,12.1563,0.0041,0.0407,0.495,50.985
21191,12.1563,0.004,0.0401,0.4875,50.2125
21294,12.1563,0.004,0.0408,0.495,50.985
21397,12.155,0.0043,0.0433,0.5275,54.3325
21500,12.155,0.0043,0.043,0.5225,53.8175
21603,12.1563,0.0041,0.041,0.4975,51.2425
21706,12.1563,0.004,0.0396,0.48,49.44
21809,12.1563,0.0041,0.0406,0.4925,50.7275
21912,12.1563,0.004,0.0401,0.4875,50.2125
22015,12.1563,0.004,0.0405,0.4925,50.7275
22118,12.1563,0.004,0.0403,0.49,50.47
22221,12.1563,0.004,0.0399,0.485,49.955
22324,12.1563,0.004,0.0405,0.4925,50.7275
22427,12.1563,0.004,0.0404,0.4925,50.7275
22530,12.1563,0.0042,0.0422,0.5125,52.7875
22635,12.1563,0.004,0.0401,0.4875,51.1875
22740,12.1563,0.0042,0.0416,0.505,53.025
22846,12.155,0.0044,0.0435,0.53,56.18
22950,12.155,0.0044,0.0437,0.5325,55.38
23055,12.1563,0.004,0.0401,0.4875,51.1875
23160,12.1563,0.004,0.0399,0.485,50.925
