timestamp,Vb,Vs,Is,P,Ph
20417,12.1563,0.0032,0.0319,0.3875,40.3
20522,12.1563,0.0032,0.032,0.39,40.95
20626,12.1563,0.0032,0.0318,0.3875,40.3
20731,12.1563,0.0032,0.032,0.39,40.95
20836,12.1563,0.0032,0.032,0.39,40.95
20940,12.1563,0.0033,0.0331,0.4025,41.86
21045,12.1538,0.0039,0.0386,0.47,49.35
21150,12.1525,0.0041,0.0408,0.495,51.975
21255,12.1525,0.0041,0.0409,0.4975,52.2375
21360,12.1525,0.0041,0.0408,0.495,51.975
21464,12.1525,0.0041,0.041,0.4975,51.74
21569,12.1525,0.0042,0.0418,0.5075,53.2875
21674,12.1513,0.0043,0.043,0.5225,54.8625
21778,12.1513,0.0043,0.0431,0.525,54.6
21883,12.1525,0.0043,0.043,0.5225,54.8625
21987,12.1487,0.0051,0.0511,0.62,64.48
22092,12.145,0.006,0.0598,0.725,76.125
22197,12.145,0.0057,0.0574,0.6975,73.2375
22302,12.1475,0.0054,0.054,0.655,68.775
22406,12.1475,0.0054,0.0542,0.6575,68.38
22511,12.1475,0.0054,0.0536,0.65,68.25
22616,12.1487,0.0051,0.0511,0.62,65.1
22721,12.1487,0.0051,0.0512,0.6225,65.3625
22825,12.1475,0.0051,0.0511,0.62,64.48
22930,12.1487,0.0051,0.0513,0.6225,65.3625
23034,12.1487,0.0051,0.0512,0.6225,64.74
23139,12.1487,0.0051,0.0512,0.6225,65.3625
23244,12.1487,0.005,0.0504,0.6125,64.3125
23349,12.15,0.0048,0.048,0.5825,61.1625
23453,12.15,0.0047,0.0475,0.5775,60.06
23558,12.15,0.0048,0.0479,0.5825,61.1625
23662,12.15,0.0048,0.0481,0.585,60.84
23767,12.1487,0.005,0.0502,0.61,64.05
23872,12.1487,0.0051,0.051,0.62,65.1
23977,12.1487,0.005,0.0498,0.605,63.525
24081,12.1487,0.005,0.05,0.6075,63.18
24186,12.1475,0.0051,0.0512,0.6225,65.3625
24291,12.15,0.0047,0.0465,0.565,59.325
24395,12.1525,0.0041,0.0413,0.5,52.0
24500,12.1525,0.0042,0.0417,0.5075,53.2875
24605,12.1525,0.0041,0.0413,0.5025,52.7625
24709,12.1525,0.0041,0.0413,0.5025,52.26
24814,12.1525,0.0041,0.0413,0.5025,52.7625
24919,12.1525,0.0042,0.0416,0.505,53.025
25023,12.1525,0.0041,0.0415,0.505,52.52
25128,12.1525,0.0042,0.0417,0.5075,53.2875
25233,12.1513,0.0044,0.0441,0.535,56.175
25337,12.1513,0.0044,0.0441,0.535,55.64
25442,12.1525,0.0042,0.0416,0.505,53.025
25547,12.1475,0.0052,0.0519,0.63,66.15
25651,12.1412,0.0067,0.0667,0.81,84.24
25756,12.1463,0.0059,0.0588,0.7125,74.8125
25861,12.1475,0.0054,0.0541,0.6575,69.0375
25965,12.1438,0.0056,0.0563,0.685,71.24
26070,12.1463,0.005,0.05,0.6075,63.7875
26175,12.1475,0.0053,0.0527,0.64,67.2
26280,12.145,0.0057,0.0572,0.695,72.975
26384,12.1463,0.0054,0.0538,0.655,68.12
26489,12.1463,0.0055,0.0546,0.6625,69.5625
26594,12.1463,0.0058,0.0579,0.7025,73.7625
26698,12.1463,0.0048,0.0482,0.585,60.84
26803,12.1513,0.0043,0.0433,0.5275,55.3875
26908,12.1513,0.0043,0.0432,0.525,55.125
27012,12.1525,0.0043,0.0428,0.52,54.08
27117,12.1525,0.0043,0.0431,0.525,55.125
27222,12.1513,0.0043,0.0428,0.52,54.6
27326,12.1513,0.0042,0.0425,0.515,53.56
27431,12.1513,0.0043,0.0427,0.5175,54.3375
27536,12.1513,0.0043,0.0426,0.5175,54.3375
27640,12.1513,0.0043,0.043,0.5225,54.34
27745,12.1513,0.0042,0.0424,0.515,54.075
27850,12.1513,0.0042,0.0424,0.515,54.075
27955,12.1525,0.0043,0.0429,0.52,54.6
28059,12.15,0.0046,0.0458,0.5575,57.98
28164,12.15,0.0046,0.0457,0.555,58.275
28269,12.1513,0.0043,0.043,0.5225,54.8625
28373,12.15,0.0048,0.0481,0.585,60.84
28478,12.1463,0.0054,0.054,0.655,68.775
28583,12.15,0.0049,0.0487,0.5925,62.2125
28687,12.1513,0.0043,0.043,0.5225,54.34
28792,12.1513,0.0043,0.0428,0.52,54.6
28897,12.1513,0.0043,0.0425,0.5175,54.3375
29001,12.1513,0.0043,0.0429,0.52,54.08
29106,12.1513,0.0043,0.0435,0.5275,55.3875
29211,12.1513,0.0043,0.0431,0.5225,54.8625
29316,12.1525,0.0042,0.0419,0.51,53.55
29420,12.1513,0.0043,0.0432,0.525,54.6
29525,12.1513,0.0045,0.0446,0.5425,56.9625
29630,12.1513,0.0045,0.045,0.5475,57.4875
29734,12.1525,0.0042,0.0419,0.51,53.04
29839,12.1525,0.0042,0.0417,0.5075,53.2875
29944,12.1513,0.0044,0.044,0.535,56.175
30048,12.1525,0.0042,0.0417,0.5075,52.78
30153,12.1525,0.0043,0.0427,0.52,54.6
30258,12.1513,0.0043,0.0428,0.52,54.6
30362,12.15,0.0043,0.0433,0.525,54.6
30467,12.1513,0.0041,0.0412,0.5,52.5
30572,12.15,0.0047,0.0469,0.57,59.85
30676,12.1525,0.0045,0.0452,0.55,57.2
30781,12.1412,0.0055,0.0545,0.66,69.3
30886,12.1463,0.0048,0.0481,0.585,61.425
30990,12.1375,0.0056,0.0558,0.675,70.2
31095,12.1487,0.0051,0.0508,0.6175,64.8375
31200,12.1513,0.0046,0.0456,0.555,58.275
31305,12.1387,0.0051,0.0514,0.6225,65.3625
